FECHA_CORTE,MODALIDAD,ESCUELA DE PROFESIONAL,UUID,SEXO,F_NACIMIENTO,PAIS_NACIMIENTO,DEPARTAMENTO_NACIMIENTO,PROVINCIA_NACIMIENTO,DISTRITO_NACIMIENTO,UBIGEO_NACIMIENTO,ESTADO_CIVIL,AÑO_EGRESO,TIPO_COLEGIO,PAIS_COLEGIO,NOMBRE_COLEGIO,DEPARTAMENTO_COLEGIO,PROVINCIA_COLEGIO,DISTRITO_COLEGIO,ESTADO_BIOMETRICO,PUNTAJE_TOTAL
20230718,COAR,Ingeniería Civil,aj3Z1E3ru5d8s,FEMENINO,20051005,Perú,PUNO,MELGAR,AYAVIRI,210801,SOLTERO,2021,ESTATAL,Perú,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,170.0
20230718,COAR,Ingeniería Electrónica,Np9J7N3Mu2a0J,MASCULINO,20040911,Perú,PUNO,HUACANÉ,HUANCANE,210601,SOLTERO,2021,ESTATAL,Perú,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,160.0
20230718,COAR,Ingeniería Económica,qH2S5x6CL4U7O,FEMENINO,20050218,Perú,PUNO,SAN ROMÁN,JULIACA,211101,SOLTERO,2021,ESTATAL,Perú,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,180.0
20230718,COAR,Ingeniería Civil,cq6q0R5TA2S6s,MASCULINO,20050515,Perú,PUNO,SAN ROMÁN,JULIACA,211101,SOLTERO,2021,ESTATAL,Perú,COAR AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,PASO CONTROL BIOMETRICO,270.0
20230718,COAR,Nutrición Humana,Ho6b3i8eg7B6p,FEMENINO,20051229,Perú,PUNO,PUNO,PUNO,210101,SOLTERO,2021,ESTATAL,Perú,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,178.0
20230718,COAR,Ingeniería de Sistemas,Xd5i9T2Em9b8t,MASCULINO,20050430,Perú,PUNO,PUNO,PUNO,210101,SOLTERO,2021,ESTATAL,Perú,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,220.0
20230718,COAR,Medicina Humana,ww0l9W3xS6p8U,MASCULINO,20050922,Perú,PUNO,SAN ANTONIO DE PUTINA,PUTINA,211001,SOLTERO,2021,ESTATAL,Perú,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,230.0
20230718,CONADIS LEY 27050,Biología: Microbiología y Laboratorio Clínico,NH7J9g1aa7K3o,FEMENINO,19990909,Perú,PUNO,MELGAR,AYAVIRI,210801,SOLTERO,2016,ESTATAL,Perú,NUESTRA SEÑORA DE ALTA GRACIA,PUNO,MELGAR,AYAVIRI,PASO CONTROL BIOMETRICO,1051.546
20230718,CONADIS LEY 27050,Educación Inicial,Uw6A3Q5mw0Q3N,FEMENINO,20050519,Perú,PUNO,MELGAR,AYAVIRI,210801,SOLTERO,2021,PARTICULAR,Perú,CESGNE CORAZON DE JESUS,PUNO,MELGAR,AYAVIRI,PASO CONTROL BIOMETRICO,1133.957
20230718,CONADIS LEY 27050,Nutrición Humana,Cg1T6d2wU0O0g,FEMENINO,20050412,Perú,PUNO,AZÁNGARO,AZÁNGARO,210201,SOLTERO,2020,ESTATAL,Perú,I.E.S. PEDRO VILCAPAZA ALARCON,PUNO,AZANGARO,AZANGARO,PASO CONTROL BIOMETRICO,1075.102
