FECHA_CORTE,MODALIDAD,ESCUELA DE PROFESIONAL,UUID,SEXO,F_NACIMIENTO,PAIS_NACIMIENTO,DEPARTAMENTO_NACIMIENTO,PROVINCIA_NACIMIENTO,DISTRITO_NACIMIENTO,UBIGEO_NACIMIENTO,ESTADO_CIVIL,AÑO_EGRESO,TIPO_COLEGIO,PAIS_COLEGIO,NOMBRE_COLEGIO,DEPARTAMENTO_COLEGIO,PROVINCIA_COLEGIO,DISTRITO_COLEGIO,ESTADO_BIOMETRICO,PUNTAJE_TOTAL
20230718,COAR,INGENIERIA CIVIL,AJ3Z1E3RU5D8S,FEMENINO,20051005,PERU,PUNO,MELGAR,AYAVIRI,210801,SOLTERO,2021,ESTATAL,PERU,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,170.0
20230718,COAR,INGENIERIA ELECTRONICA,NP9J7N3MU2A0J,MASCULINO,20040911,PERU,PUNO,HUACANE,HUANCANE,210601,SOLTERO,2021,ESTATAL,PERU,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,160.0
20230718,COAR,INGENIERIA ECONOMICA,QH2S5X6CL4U7O,FEMENINO,20050218,PERU,PUNO,SAN ROMAN,JULIACA,211101,SOLTERO,2021,ESTATAL,PERU,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,180.0
20230718,COAR,INGENIERIA CIVIL,CQ6Q0R5TA2S6S,MASCULINO,20050515,PERU,PUNO,SAN ROMAN,JULIACA,211101,SOLTERO,2021,ESTATAL,PERU,COAR AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,PASO CONTROL BIOMETRICO,270.0
20230718,COAR,NUTRICION HUMANA,HO6B3I8EG7B6P,FEMENINO,20051229,PERU,PUNO,PUNO,PUNO,210101,SOLTERO,2021,ESTATAL,PERU,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,178.0
20230718,COAR,INGENIERIA DE SISTEMAS,XD5I9T2EM9B8T,MASCULINO,20050430,PERU,PUNO,PUNO,PUNO,210101,SOLTERO,2021,ESTATAL,PERU,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,220.0
20230718,COAR,MEDICINA HUMANA,WW0L9W3XS6P8U,MASCULINO,20050922,PERU,PUNO,SAN ANTONIO DE PUTINA,PUTINA,211001,SOLTERO,2021,ESTATAL,PERU,COAR PUNO,PUNO,PUNO,CHUCUITO,PASO CONTROL BIOMETRICO,230.0
20230718,CONADIS LEY 27050,BIOLOGIA: MICROBIOLOGIA Y LABORATORIO CLINICO,NH7J9G1AA7K3O,FEMENINO,19990909,PERU,PUNO,MELGAR,AYAVIRI,210801,SOLTERO,2016,ESTATAL,PERU,NUESTRA SENORA DE ALTA GRACIA,PUNO,MELGAR,AYAVIRI,PASO CONTROL BIOMETRICO,1051.546
20230718,CONADIS LEY 27050,EDUCACION INICIAL,UW6A3Q5MW0Q3N,FEMENINO,20050519,PERU,PUNO,MELGAR,AYAVIRI,210801,SOLTERO,2021,PARTICULAR,PERU,CESGNE CORAZON DE JESUS,PUNO,MELGAR,AYAVIRI,PASO CONTROL BIOMETRICO,1133.957
20230718,CONADIS LEY 27050,NUTRICION HUMANA,CG1T6D2WU0O0G,FEMENINO,20050412,PERU,PUNO,AZANGARO,AZANGARO,210201,SOLTERO,2020,ESTATAL,PERU,I.E.S. PEDRO VILCAPAZA ALARCON,PUNO,AZANGARO,AZANGARO,PASO CONTROL BIOMETRICO,1075.102
20230718,CONADIS LEY 27050,"EDUC. SEC.: CIENCIA, TECNOLOGIA Y AMBIENTE",UW2M3D9SO4R4L,FEMENINO,20040103,PERU,PUNO,SAN ROMAN,CABANILLAS,211103,SOLTERO,2020,ESTATAL,PERU,LAS MERCEDES,PUNO,SAN ROMAN,JULIACA,PASO CONTROL BIOMETRICO,1943.1
20230718,CONADIS LEY 27050,ADMINISTRACION,LM2Q4E9NJ9Z0I,MASCULINO,20031116,PERU,PUNO,PUNO,CAPACHICA,210105,SOLTERO,2020,ESTATAL,PERU,ISANURA,PUNO,PUNO,CAPACHICA,PASO CONTROL BIOMETRICO,1282.11
20230718,CONADIS LEY 27050,EDUCACION INICIAL,MF1J5Z0DI3P3T,FEMENINO,20020227,PERU,PUNO,AZANGARO,CHUPA,210206,SOLTERO,2018,ESTATAL,PERU,125 CHUPA,PUNO,AZANGARO,CHUPA,PASO CONTROL BIOMETRICO,948.0
20230718,CONADIS LEY 27050,INGENIERIA DE SISTEMAS,IA1V5S8VS8S9V,MASCULINO,20030506,PERU,PUNO,HUACANE,HUANCANE,210601,SOLTERO,2019,ESTATAL,PERU,JOSE CARLOS MARIATEGUI,PUNO,HUANCANE,HUANCANE,PASO CONTROL BIOMETRICO,980.0
20230718,CONADIS LEY 27050,CIENCIAS CONTABLES,FU4F2N9SI4W9Q,MASCULINO,20030603,PERU,PUNO,EL COLLAO,ILAVE,210501,SOLTERO,2020,ESTATAL,PERU,NUESTRA SENORA DEL CARMEN,PUNO,EL COLLAO,ILAVE,PASO CONTROL BIOMETRICO,927.7
20230718,CONADIS LEY 27050,EDUCACION PRIMARIA,PQ3K4Z7CD9E1C,FEMENINO,20040114,PERU,PUNO,EL COLLAO,ILAVE,210501,SOLTERO,2020,ESTATAL,PERU,CESAR VALLEJO,PUNO,EL COLLAO,PILCUYO,PASO CONTROL BIOMETRICO,1687.5
20230718,CONADIS LEY 27050,TRABAJO SOCIAL,IY9B7R7DY9Z0S,MASCULINO,19870318,PERU,PUNO,SAN ROMAN,JULIACA,211101,SOLTERO,2004,ESTATAL,PERU,COMERCIO 32 MARIANO H. CORNEJO,PUNO,SAN ROMAN,JULIACA,PASO CONTROL BIOMETRICO,1093.444
20230718,CONADIS LEY 27050,DERECHO,NX5F2Y1XE6P8A,FEMENINO,20050524,PERU,PUNO,SAN ROMAN,JULIACA,211101,SOLTERO,2021,ESTATAL,PERU,JOSE ANTONIO ENCINAS,PUNO,SAN ROMAN,JULIACA,PASO CONTROL BIOMETRICO,1643.458
20230718,CONADIS LEY 27050,INGENIERIA AGRONOMICA,JI5E5A4VC5T7J,MASCULINO,19800506,PERU,PUNO,AZANGARO,MUNANI,210208,SOLTERO,1997,ESTATAL,PERU,INDUSTRIAL MUNANI,PUNO,AZANGARO,MUNANI,PASO CONTROL BIOMETRICO,1078.704
20230718,CONADIS LEY 27050,INGENIERIA CIVIL,TE0Y8J6JK1N2W,FEMENINO,20040606,PERU,PUNO,MELGAR,NUNOA,210806,SOLTERO,2020,ESTATAL,PERU,TUPAC AMARU,PUNO,MELGAR,NUNOA,PASO CONTROL BIOMETRICO,1464.16
20230718,CONADIS LEY 27050,INGENIERIA DE SISTEMAS,PA6Q3Y7CB5C8V,MASCULINO,20041021,PERU,PUNO,MELGAR,NUNOA,210806,SOLTERO,2020,ESTATAL,PERU,TUPAC AMARU,PUNO,MELGAR,NUNOA,PASO CONTROL BIOMETRICO,980.0
20230718,CONADIS LEY 27050,INGENIERIA ECONOMICA,RW2R3S2BI7L6M,MASCULINO,20040819,PERU,PUNO,LAMPA,PALCA,210706,SOLTERO,2020,ESTATAL,PERU,HORACIO ZEBALLOS GAMEZ,PUNO,LAMPA,PALCA,PASO CONTROL BIOMETRICO,1051.02
20230718,CONADIS LEY 27050,INGENIERIA DE SISTEMAS,WL4C8D4TE8J3R,MASCULINO,19881225,PERU,PUNO,SANDIA,PHARA,211205,SOLTERO,2005,ESTATAL,PERU,AGROPECUARIO PHARA,PUNO,SANDIA,PHARA,PASO CONTROL BIOMETRICO,1476.24
20230718,CONADIS LEY 27050,CIENCIAS CONTABLES,XK9P7Y1MX8V6M,MASCULINO,20010714,PERU,PUNO,PUNO,PUNO,210101,SOLTERO,2019,ESTATAL,PERU,GLORIOSO SAN CARLOS,PUNO,PUNO,PUNO,PASO CONTROL BIOMETRICO,812.0
20230718,CONADIS LEY 27050,DERECHO,BF0W9Q3OD1J1Z,FEMENINO,20050219,PERU,PUNO,PUNO,PUNO,210101,SOLTERO,2021,ESTATAL,PERU,SECUNDARIA MARIA AUXILIADORA,PUNO,PUNO,PUNO,PASO CONTROL BIOMETRICO,1034.0
20230718,CONADIS LEY 27050,ADMINISTRACION,TG3Y5T8SW6C5P,MASCULINO,20030815,PERU,PUNO,SAN ROMAN,SAN MIGUEL,211105,SOLTERO,2020,ESTATAL,PERU,JOSE MARIA ARGUEDAS,PUNO,SAN ROMAN,JULIACA,PASO CONTROL BIOMETRICO,884.0
20230718,CONADIS LEY 27050,TURISMO,SG5C2U6HD4K8P,MASCULINO,19970609,PERU,CUSCO,CANCHIS,SAN PEDRO,080607,SOLTERO,2015,ESTATAL,PERU,INMACULADA CONCEPCION,CUSCO,CANCHIS,SICUANI,PASO CONTROL BIOMETRICO,828.894
20230718,CONADIS LEY 27050,INGENIERIA CIVIL,GU5L3V4ET7A7G,MASCULINO,19990810,PERU,PUNO,MELGAR,SANTA ROSA,210808,SOLTERO,1999,ESTATAL,PERU,SECUNDARIA LA SALLE,PUNO,MELGAR,SANTA ROSA,PASO CONTROL BIOMETRICO,1968.58
20230718,CONADIS LEY 27050,INGENIERIA DE MINAS,ZL7U2Y3ZG1R1Y,MASCULINO,20011109,PERU,PUNO,PUNO,TIQUILLACA,210114,SOLTERO,2018,ESTATAL,PERU,GLORIOSO SAN CARLOS,PUNO,PUNO,PUNO,PASO CONTROL BIOMETRICO,796.84
20230718,CONADIS LEY 27050,"EDUC. SEC.: CIENCIA, TECNOLOGIA Y AMBIENTE",NU3S5W2KV3Q7M,FEMENINO,20050321,PERU,PUNO,CARABAYA,USICAYOS,210310,SOLTERO,2021,ESTATAL,PERU,LIBERTADOR SIMON BOLIVAR,PUNO,CARABAYA,USICAYOS,PASO CONTROL BIOMETRICO,1623.672
20230718,CONADIS LEY 27050,ADMINISTRACION,EZ4I4P8FK3O9M,FEMENINO,19970503,PERU,PUNO,YUNGUYO,YUNGUYO,211301,SOLTERO,2013,ESTATAL,PERU,JOSE GALVEZ,PUNO,YUNGUYO,YUNGUYO,PASO CONTROL BIOMETRICO,810.0
20230718,CONADIS LEY 27050,INGENIERIA DE SISTEMAS,UA4F0N5GX7W8J,MASCULINO,20041111,PERU,PUNO,CHUCUITO,ZEPITA,210407,SOLTERO,2021,ESTATAL,PERU,MANUEL GONZALES PRADA,PUNO,CHUCUITO,ZEPITA,PASO CONTROL BIOMETRICO,937.79
